,Titles,Actors,Year_produced,Ratings
167,Blade Runner,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",(1982),8.10582127827742
168,The Bridge on the River Kwai,"David Lean (dir.), William Holden, Alec Guinness",(1957),8.105418221113867
169,Finding Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",(2003),8.103643979157159
170,The Third Man,"Carol Reed (dir.), Orson Welles, Joseph Cotten",(1949),8.10142766431873
171,Stalker,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy",(1979),8.101348816498113
172,On the Waterfront,"Elia Kazan (dir.), Marlon Brando, Karl Malden",(1954),8.101219225877
173,Fargo,"Joel Coen (dir.), William H. Macy, Frances McDormand",(1996),8.099767878433145
174,Kill Bill: Vol. 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",(2003),8.099133852617399
175,The Truman Show,"Peter Weir (dir.), Jim Carrey, Ed Harris",(1998),8.09836448117242
176,Gran Torino,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",(2008),8.097239946237895
177,Tôkyô monogatari,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama",(1953),8.095457783595727
178,The Deer Hunter,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",(1978),8.094585423654774
179,Salinui chueok,"Bong Joon Ho (dir.), Kang-ho Song, Sang-kyung Kim",(2003),8.092351283963119
180,Relatos salvajes,"Damián Szifron (dir.), Darío Grandinetti, María Marull",(2014),8.090784937220024
181,Eskiya,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",(1996),8.089714449611176
182,Andhadhun,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",(2018),8.08858956005508
183,Klaus,"Sergio Pablos (dir.), Jason Schwartzman, J.K. Simmons",(2019),8.088585402501607
184,The Big Lebowski,"Joel Coen (dir.), Jeff Bridges, John Goodman",(1998),8.086761170001036
185,Mary and Max,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",(2009),8.086156787033561
186,In the Name of the Father,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",(1993),8.084805327293537
187,Gone Girl,"David Fincher (dir.), Ben Affleck, Rosamund Pike",(2014),8.082014058297116
188,Hacksaw Ridge,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",(2016),8.080826394262498
189,The Grand Budapest Hotel,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham",(2014),8.078733635619324
190,Ford v Ferrari,"James Mangold (dir.), Matt Damon, Christian Bale",(2019),8.077154039538621
191,Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",(1966),8.075610191941077
192,Mr. Smith Goes to Washington,"Frank Capra (dir.), James Stewart, Jean Arthur",(1939),8.074130767297813
193,How to Train Your Dragon,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",(2010),8.073826430815489
194,Before Sunrise,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",(1995),8.073712752485367
195,The General,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",(1926),8.07354904352019
